Nama Parfum,Brand atau Produsen,Jenis,Kategori Aroma,Top Notes,Middle Notes,Base Notes,Kekuatan Aroma,Daya Tahan,Musim atau Cuaca,Harga,Ukuran Botol
Acqua di Parma Colonia Essenza,Acqua di Parma,EDC,Citrus Aromatic,Grapefruit,Neroli,White Musk,Sedang,Sedang,Musim Panas,Rp2.000.000,100ml
Histoires de Parfums This Is Not A Blue Bottle 1.1,Histoires de Parfums,EDP,Woody Aromatic,Aldehydes,Incense,Amber,Kuat,Lama,Semua Musim,Rp2.500.000,60ml
Montale Honey Aoud,Montale,EDP,Oriental Woody,Honey,Oud,Patchouli,Sangat Kuat,Sangat Lama,Musim Dingin,Rp2.200.000,100ml
Etat Libre d'Orange Fat Electrician,Etat Libre d'Orange,EDP,Woody Aromatic,Vetiver,Chestnut,Vanilla,Kuat,Lama,Musim Gugur,Rp2.000.000,100ml
Profumum Roma Acqua Viva,Profumum Roma,EDP,Citrus Aromatic,Lemon,Cedar,Musk,Kuat,Lama,Musim Panas,Rp3.800.000,100ml
Amouage Epic Woman,Amouage,EDP,Oriental Spicy,Cumin,Rose,Frankincense,Sangat Kuat,Sangat Lama,Musim Dingin,Rp4.500.000,100ml
Parfums de Marly Herod,Parfums de Marly,EDP,Oriental Spicy,Cinnamon,Incense,Vanilla,Kuat,Lama,Musim Dingin,Rp3.800.000,125ml
Xerjoff Erba Pura,Xerjoff,EDP,Fruity,Lemon,Orange Blossom,White Musk,Kuat,Lama,Musim Panas,Rp4.800.000,100ml
Penhaligon's Endymion,Penhaligon's,EDC,Oriental Fougere,Bergamot,Lavender,Leather,Sedang,Sedang,Semua Musim,Rp2.800.000,100ml
Memo Paris Winter Palace,Memo Paris,EDP,Oriental Woody,Orange,Mate,Styrax,Kuat,Lama,Musim Dingin,Rp4.000.000,75ml
Juliette Has a Gun Moscow Mule,Juliette Has a Gun,EDP,Woody Spicy,Bergamot,Ginger,Amber,Kuat,Lama,Musim Panas,Rp2.400.000,100ml
Atelier Cologne Clementine California,Atelier Cologne,EDC,Citrus Aromatic,Clementine,Juniper Berries,Sandalwood,Sedang,Sedang,Musim Panas,Rp2.600.000,100ml
Tiziana Terenzi Ursa,Tiziana Terenzi,EDP,Oriental Woody,Saffron,Rose,Oud,Sangat Kuat,Sangat Lama,Musim Dingin,Rp3.800.000,100ml
Mancera Wild Python,Mancera,EDP,Leather,Violet,Leather,Amber,Kuat,Lama,Musim Gugur,Rp2.900.000,120ml
Nasomatto Baraonda,Nasomatto,Extrait de Parfum,Woody Aromatic,Whiskey,Rose,Ambergris,Sangat Kuat,Sangat Lama,Musim Dingin,Rp3.700.000,30ml
Roja Dove Sweetie Aoud,Roja Dove,Parfum,Oriental Gourmand,Bergamot,Rose,Oud,Sangat Kuat,Sangat Lama,Musim Dingin,Rp7.000.000,50ml
Initio Rehab,Initio,EDP,Woody Aromatic,Bergamot,Lavender,Vanilla,Kuat,Lama,Semua Musim,Rp4.300.000,90ml
Maison Francis Kurkdjian Oud Satin Mood,Maison Francis Kurkdjian,EDP,Oriental Woody,Bulgarian Rose,Violet,Oud,Sangat Kuat,Sangat Lama,Musim Dingin,Rp5.500.000,70ml
Le Labo Thé Noir 29,Le Labo,EDP,Woody Aromatic,Bergamot,Fig,Cedar,Kuat,Lama,Musim Gugur,Rp4.000.000,100ml
Zoologist Squid,Zoologist,EDP,Aquatic Aromatic,Pink Pepper,Incense,Ambergris,Kuat,Lama,Musim Panas,Rp3.700.000,60ml
Nishane Fan Your Flames,Nishane,EDP,Oriental Spicy,Rum,Coconut,Tobacco,Sangat Kuat,Sangat Lama,Musim Dingin,Rp3.400.000,50ml
Vilhelm Parfumerie Dear Polly,Vilhelm Parfumerie,EDP,Aromatic Fruity,Apple,Black Tea,Oak Moss,Sedang,Sedang,Musim Gugur,Rp3.200.000,100ml
Eight & Bob Nuit de Megève,Eight & Bob,EDP,Woody Aromatic,Grapefruit,Petitgrain,Tonka Bean,Kuat,Lama,Musim Dingin,Rp3.000.000,100ml
Acqua di Parma Oud & Spice,Acqua di Parma,EDP,Woody Spicy,Agarwood,Incense,Sandalwood,Kuat,Lama,Musim Dingin,Rp3.200.000,100ml
